구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,1.0,0.9285714285714286,0.5,1.0,0.9999999999999999,88.5593220338983,78.57142857142857,83.33333333333334,50.5252456794307,84.60701658961109,537800,6502,0.8857142857142858,89.46225287193784
강동구,0.16932907348242815,1.0,0.25,0.396130815292492,0.2929910350448247,88.82978723404256,93.33333333333333,100.0,47.62195121951219,87.38414006179197,466472,2547,0.42169018476394904,96.78747708021764
강북구,0.1230031948881789,0.2857142857142857,0.75,0.0,0.2420537897310513,83.01886792452831,80.0,88.88888888888889,62.82051282051282,89.43313153549808,302563,2462,0.2801542540667032,93.7695334203711
강서구,0.29233226837060705,0.3571428571428571,0.8333333333333333,0.41870105941962227,0.49796251018744897,83.77358490566039,83.33333333333334,90.0,63.351095322676144,85.35787321063395,579768,2560,0.4798944056907738,94.15339081641011
관악구,0.5127795527156549,0.14285714285714285,1.0,0.6674343620451406,0.5668296658516706,87.09677419354838,100.0,100.0,51.00942126514132,90.09181331293038,499449,4942,0.5779801446939218,99.34626952961978
광진구,0.2763578274760383,0.21428571428571427,0.16666666666666666,0.407185628742515,0.18459657701711485,87.84313725490196,100.0,100.0,52.52403846153846,83.94988066825776,352627,2588,0.24981848283760985,98.44584931755755
구로구,0.18370607028753994,0.2857142857142857,0.5,0.45278673422386,0.3997555012224938,72.08121827411168,100.0,100.0,57.17526942711287,82.71324863883848,421163,4075,0.36439251828963587,95.58114616622402
금천구,0.05591054313099042,0.4285714285714286,0.3333333333333333,0.10087517273146018,0.10105949470252651,79.48717948717949,85.71428571428571,100.0,55.35535535535535,89.05506458191707,244891,2374,0.2039499944939478,95.03410083635528
노원구,0.13897763578274763,0.14285714285714285,0.3333333333333333,0.2874251497005988,0.3830480847595762,87.57396449704143,100.0,75.0,46.01139601139601,82.33934350439205,514946,2415,0.25712826928667976,90.69848578244813
도봉구,0.0,0.07142857142857142,0.0,0.03730999539382773,0.004482477587611999,100.0,100.0,,44.01858304297328,82.82009724473258,319373,1629,0.02264420888200223,75.82988000741888
동대문구,0.12619808306709268,0.3571428571428571,0.8333333333333333,0.3040073698756333,0.22860635696821519,88.19875776397515,83.33333333333334,80.0,49.51388888888889,89.51793721973094,352006,2497,0.36985760007742635,90.61477959365955
동작구,0.23003194888178913,0.0,0.08333333333333333,0.2584062643942883,0.16625916870415647,53.53982300884957,100.0,100.0,44.1461595824012,83.99754751686082,394364,2297,0.14760614306271344,88.55443995621486
마포구,0.4249201277955272,0.21428571428571427,0.75,0.32381391064025794,0.2530562347188263,82.47126436781609,75.0,88.88888888888889,45.78556979096426,84.43600867678958,378686,2421,0.39321519748806516,87.37077112327904
서대문구,0.1230031948881789,0.07142857142857142,0.25,0.13680331644403504,0.028117359413202925,93.71069182389937,50.0,100.0,48.653667595171775,79.6439628482972,315659,2940,0.12187048843479764,86.309693866295
서초구,0.5015974440894568,0.3571428571428571,0.41666666666666663,0.5716259788116076,0.38712306438467803,76.51515151515152,66.66666666666666,100.0,47.5012370113805,81.91440404970088,416167,3704,0.4468312022190532,86.44637960411262
성동구,0.052715654952076696,0.14285714285714285,0.41666666666666663,0.10870566559189315,0.0,85.21739130434783,100.0,100.0,55.610236220472444,90.1880621422731,292672,3602,0.14418902601355588,100.0
성북구,0.09584664536741216,0.14285714285714285,0.3333333333333333,0.09580838323353297,0.08435207823960877,85.2112676056338,66.66666666666666,100.0,58.70445344129555,86.7132867132867,440142,3958,0.15043951660620603,92.1766153649174
송파구,0.3274760383386581,0.8571428571428571,0.5,0.7595578074619991,0.5916870415647922,81.8815331010453,100.0,100.0,41.41622066694113,85.23364485981308,663965,2854,0.6071727489016613,94.78341703601086
양천구,0.04313099041533547,0.14285714285714285,0.41666666666666663,0.3394748963611239,0.14629176854115722,82.56880733944955,100.0,100.0,47.33025708635465,80.27812895069533,450487,3312,0.21768429296828523,95.16525806596762
영등포구,0.37220447284345043,0.3571428571428571,0.5833333333333333,0.6485490557346845,0.6022819885900571,80.0,83.33333333333334,57.14285714285714,43.55575868372944,79.85931136616068,400908,3778,0.5127023415288765,79.78625112039293
용산구,0.23642172523961663,0.3571428571428571,0.41666666666666663,0.15246430216490098,0.16055419722901387,80.8695652173913,100.0,60.0,48.064806480648066,82.06555349412493,237285,2383,0.2646499496886111,86.07573554427128
은평구,0.14217252396166136,0.21428571428571427,0.3333333333333333,0.2722247812068172,0.2514262428687857,84.7953216374269,75.0,100.0,55.14223194748359,88.20652173913044,477173,3791,0.24268851913126238,93.53350353334473
종로구,0.1757188498402556,0.4285714285714286,0.75,0.18562874251497002,0.1988590057049715,76.04166666666666,100.0,66.66666666666666,50.21132713440406,82.99240210403272,153789,1772,0.34775560532632516,87.21540110572678
중구,0.16613418530351437,0.2857142857142857,0.16666666666666666,0.3970520497466606,0.14384678076609614,68.81720430107528,100.0,100.0,52.557856272838,84.01015228426397,131787,2333,0.2318827936394447,94.05347011179279
중랑구,0.16134185303514376,0.2857142857142857,0.8333333333333333,0.3344081068631967,0.32559087204563975,83.60655737704919,100.0,90.0,59.030544488711826,85.26211671612265,391885,3296,0.38807769019831984,96.95684602680227
